,preserve,discover,total
419,1.0,0.0,0.3333333333333333
2411,0.0,0.0,0.0
666,0.0,0.5,0.3333333333333333
1752,0.0,0.0,0.0
1950,0.0,0.5,0.25
1774,0.0,0.0,0.0
568,0.0,0.0,0.0
1809,0.0,0.0,0.0
1071,0.0,0.0,0.0
1226,0.0,0.0,0.0
2219,1.0,0.5,0.6666666666666666
2237,0.0,0.0,0.0
1258,0.0,0.6666666666666666,0.4
216,0.0,0.0,0.0
162,0.0,0.5,0.3333333333333333
331,0.0,0.5,0.25
279,0.0,0.0,0.0
194,0.0,0.3333333333333333,0.16666666666666666
2603,0.0,0.0,0.0
2221,0.0,0.0,0.0
453,0.6666666666666666,0.0,0.3333333333333333
418,0.0,0.5,0.25
121,0.3333333333333333,0.0,0.16666666666666666
428,0.0,0.5,0.25
2531,0.0,0.0,0.0
602,0.0,1.0,0.5
1739,0.0,0.0,0.0
393,0.0,0.0,0.0
2158,0.0,0.0,0.0
755,0.0,0.0,0.0
1580,0.0,0.3333333333333333,0.2
1160,0.0,0.0,0.0
883,0.0,0.0,0.0
1730,0.0,0.0,0.0
2426,0.0,0.0,0.0
912,0.0,0.3333333333333333,0.2
2366,0.0,0.5,0.3333333333333333
1802,0.0,0.0,0.0
504,0.0,0.0,0.0
1858,0.0,0.0,0.0
1960,0.0,0.3333333333333333,0.16666666666666666
968,0.0,0.3333333333333333,0.16666666666666666
553,0.0,0.0,0.0
1681,0.3333333333333333,0.0,0.16666666666666666
862,0.0,0.0,0.0
1077,0.0,0.0,0.0
832,0.0,0.3333333333333333,0.16666666666666666
1791,0.0,0.0,0.0
2311,0.0,0.0,0.0
2161,0.0,0.0,0.0
2030,0.0,0.0,0.0
1583,0.0,0.0,0.0
238,0.0,0.5,0.3333333333333333
1965,0.0,0.0,0.0
591,0.0,0.0,0.0
1547,0.0,0.0,0.0
2189,0.0,0.0,0.0
1042,0.0,0.0,0.0
1761,0.5,0.0,0.2
22,0.0,0.5,0.25
851,0.0,0.5,0.3333333333333333
938,0.0,0.3333333333333333,0.16666666666666666
195,0.3333333333333333,0.0,0.16666666666666666
2338,0.0,0.0,0.0
841,0.0,0.0,0.0
806,0.0,0.5,0.3333333333333333
2549,0.0,0.0,0.0
1419,0.0,1.0,0.5
1337,0.0,0.3333333333333333,0.16666666666666666
2052,0.0,0.0,0.0
1110,0.0,0.0,0.0
2075,0.0,0.0,0.0
2094,0.0,0.5,0.3333333333333333
549,0.0,0.0,0.0
1952,0.0,0.0,0.0
17,0.0,0.0,0.0
2000,0.0,0.0,0.0
918,0.0,0.0,0.0
2492,0.5,0.0,0.25
1152,0.0,0.0,0.0
516,0.3333333333333333,0.0,0.16666666666666666
2561,0.0,0.0,0.0
1033,0.0,0.0,0.0
1138,0.0,0.5,0.25
