,pseudo-likelihood,time
1,-24.567489753019252,0.16511154174804688
2,-21.454664413878866,0.22043561935424805
3,-17.06730253416965,0.06298279762268066
4,-16.011658783189397,0.06167745590209961
5,-16.520064097751867,0.06232929229736328
6,-16.801612008488476,0.06207752227783203
7,-18.072056755488074,0.0612943172454834
8,-15.447885192541149,0.061977386474609375
9,-18.160062914899036,0.061493635177612305
10,-18.90558131393131,0.20736455917358398
11,-16.45274554049947,0.13303256034851074
12,-12.681471804748966,0.2131810188293457
13,-14.923053792140953,0.2660331726074219
14,-16.23277257499327,0.14326834678649902
15,-13.212114120090654,0.137282133102417
16,-15.942485766497404,0.06675505638122559
17,-17.173479420813933,0.08514070510864258
18,-18.16741446315427,0.0660700798034668
19,-16.77888820458948,0.06609463691711426
20,-16.44021399880847,0.07318305969238281
21,-16.92907819133674,0.0639348030090332
22,-17.242010040880555,0.07976269721984863
23,-17.88580962424172,0.09981560707092285
24,-15.641262584429843,0.06528711318969727
25,-15.861900205128348,0.06438827514648438
26,-16.538275621197798,0.10111355781555176
27,-18.931351446971515,0.12671566009521484
28,-14.47253658667617,0.0676724910736084
29,-15.323964423858362,0.06702876091003418
30,-17.525366230546265,0.06719088554382324
31,-16.578579247591907,0.06279253959655762
32,-16.784212177151268,0.06214284896850586
33,-16.492009496618216,0.06763219833374023
34,-14.568189262442983,0.0658109188079834
35,-16.19584806832677,0.07126426696777344
36,-13.082024659040206,0.18149304389953613
37,-18.18381683053605,0.18820977210998535
38,-17.074219829936418,0.06319141387939453
39,-14.787687849411297,0.05968308448791504
40,-17.520891717012198,0.05982661247253418
41,-14.008925241014461,0.06531572341918945
42,-16.285567596183935,0.05970406532287598
43,-15.191514307857561,0.06015658378601074
44,-15.658222510689184,0.13760972023010254
45,-15.129161362577138,0.22173428535461426
46,-14.671611022221965,0.08246302604675293
47,-16.05876526080276,0.16701388359069824
48,-14.049393599245308,0.13010048866271973
49,-16.531710315155248,0.0657343864440918
50,-16.09714130906765,0.06594204902648926
