,preserve,discover,total
680,0.0,0.0,0.0
1472,0.0,0.0,0.0
890,0.5,0.3333333333333333,0.4
761,0.3333333333333333,0.0,0.16666666666666666
1127,0.0,0.0,0.0
133,0.0,0.0,0.0
1035,0.0,0.3333333333333333,0.2
1075,0.5,0.0,0.25
2184,0.0,0.0,0.0
389,0.0,0.0,0.0
2240,0.0,0.0,0.0
694,0.0,0.0,0.0
755,0.3333333333333333,0.0,0.16666666666666666
1833,1.0,0.0,0.5
1966,0.0,0.0,0.0
1014,1.0,0.0,0.4
1496,0.5,0.0,0.25
1674,0.3333333333333333,0.3333333333333333,0.3333333333333333
1434,1.0,0.0,0.3333333333333333
749,0.5,0.0,0.25
1158,0.0,0.0,0.0
637,0.5,0.3333333333333333,0.4
1148,0.0,0.0,0.0
344,0.3333333333333333,0.3333333333333333,0.3333333333333333
2428,0.0,0.0,0.0
2055,0.0,0.3333333333333333,0.16666666666666666
799,0.0,0.0,0.0
1597,0.0,0.3333333333333333,0.16666666666666666
888,0.5,0.0,0.25
127,0.0,0.3333333333333333,0.2
2036,0.0,0.0,0.0
1642,0.0,0.0,0.0
1493,0.5,0.0,0.2
409,0.0,0.0,0.0
1913,0.3333333333333333,0.3333333333333333,0.3333333333333333
2353,0.0,0.0,0.0
519,0.0,0.0,0.0
1648,0.0,0.0,0.0
934,0.0,1.0,1.0
2194,0.0,0.3333333333333333,0.2
72,0.0,0.0,0.0
632,0.0,0.3333333333333333,0.2
1164,0.0,0.0,0.0
938,0.3333333333333333,0.3333333333333333,0.3333333333333333
1341,0.0,0.0,0.0
1446,0.5,0.5,0.5
1762,0.0,0.3333333333333333,0.16666666666666666
407,0.5,0.0,0.25
1712,0.0,0.0,0.0
873,0.0,1.0,0.5
2307,0.0,0.0,0.0
1601,0.5,0.0,0.2
280,0.0,0.0,0.0
1502,0.5,0.0,0.25
1271,0.0,0.0,0.0
283,0.0,0.0,0.0
949,0.0,0.0,0.0
1424,0.0,0.0,0.0
2417,0.5,1.0,0.75
841,0.0,0.0,0.0
