,preserve,discover,total
2531,0.0,0.0,0.0
1936,0.0,0.0,0.0
1475,0.0,0.5,0.25
1396,0.0,0.0,0.0
319,0.0,0.5,0.3333333333333333
2371,0.3333333333333333,0.0,0.16666666666666666
116,0.5,0.0,0.2
330,0.0,0.5,0.25
528,0.0,0.3333333333333333,0.2
1251,0.0,0.0,0.0
38,1.0,0.0,0.3333333333333333
2439,0.0,0.0,0.0
2311,0.0,0.0,0.0
2458,0.0,0.0,0.0
1966,0.0,0.0,0.0
710,0.0,0.0,0.0
538,0.0,0.3333333333333333,0.16666666666666666
1084,0.0,0.3333333333333333,0.2
413,0.0,0.3333333333333333,0.16666666666666666
1931,0.0,0.3333333333333333,0.16666666666666666
2233,0.3333333333333333,0.0,0.16666666666666666
1624,0.0,0.3333333333333333,0.16666666666666666
1145,0.0,0.3333333333333333,0.16666666666666666
1765,0.0,0.0,0.0
2334,0.0,0.0,0.0
1097,0.0,0.0,0.0
2431,0.0,0.0,0.0
1041,0.0,0.0,0.0
1783,0.0,0.0,0.0
112,0.5,0.0,0.25
251,0.0,0.5,0.25
24,0.3333333333333333,0.0,0.16666666666666666
234,0.0,0.3333333333333333,0.2
1522,0.0,0.3333333333333333,0.2
2387,0.0,0.0,0.0
617,0.0,0.0,0.0
1334,0.0,0.0,0.0
1017,0.0,0.0,0.0
1418,0.0,0.3333333333333333,0.16666666666666666
2373,0.0,0.3333333333333333,0.16666666666666666
293,0.0,0.0,0.0
1130,0.0,0.0,0.0
86,0.0,0.0,0.0
1959,0.0,0.0,0.0
744,0.0,0.0,0.0
1175,0.0,0.0,0.0
1686,0.0,0.0,0.0
2365,0.3333333333333333,0.3333333333333333,0.3333333333333333
2268,0.0,0.3333333333333333,0.16666666666666666
1220,0.0,0.0,0.0
2517,0.0,0.0,0.0
1128,0.0,0.0,0.0
488,0.0,0.3333333333333333,0.2
336,0.0,0.0,0.0
2277,0.0,0.0,0.0
2492,0.0,0.0,0.0
198,0.0,0.0,0.0
52,0.0,0.0,0.0
2587,0.0,0.0,0.0
2487,1.0,0.0,0.3333333333333333
2102,0.0,0.3333333333333333,0.16666666666666666
870,0.5,0.3333333333333333,0.4
2004,0.0,0.3333333333333333,0.2
1430,0.0,0.0,0.0
1715,0.0,0.0,0.0
2078,0.5,0.0,0.25
1841,0.0,0.0,0.0
2475,0.0,0.3333333333333333,0.16666666666666666
1408,0.5,0.0,0.2
1945,0.0,0.0,0.0
1932,0.0,0.0,0.0
462,0.0,0.0,0.0
1177,0.0,0.0,0.0
1087,0.0,0.0,0.0
286,0.0,0.0,0.0
1834,0.6666666666666666,0.0,0.3333333333333333
1411,0.0,0.3333333333333333,0.2
1246,0.0,0.0,0.0
950,0.0,0.0,0.0
2204,0.0,0.0,0.0
708,0.0,0.3333333333333333,0.16666666666666666
449,0.0,0.0,0.0
1753,0.0,0.0,0.0
2548,0.0,0.0,0.0
673,0.0,0.0,0.0
875,0.3333333333333333,0.0,0.16666666666666666
1534,0.0,0.0,0.0
820,0.0,0.5,0.3333333333333333
1560,0.0,0.0,0.0
1216,0.0,0.3333333333333333,0.16666666666666666
1157,0.0,0.0,0.0
1541,0.3333333333333333,0.0,0.16666666666666666
2033,0.0,0.6666666666666666,0.3333333333333333
1833,1.0,0.0,0.5
1054,0.0,0.5,0.3333333333333333
581,0.0,0.0,0.0
540,0.3333333333333333,0.0,0.16666666666666666
2048,0.6666666666666666,0.0,0.3333333333333333
271,0.0,0.5,0.25
1354,0.0,0.0,0.0
1576,0.0,0.3333333333333333,0.16666666666666666
144,0.0,0.3333333333333333,0.2
1042,0.0,0.0,0.0
2469,0.0,0.0,0.0
115,0.0,0.3333333333333333,0.16666666666666666
755,0.0,0.0,0.0
632,0.0,0.0,0.0
1212,0.0,0.0,0.0
1294,0.0,0.0,0.0
181,0.3333333333333333,0.6666666666666666,0.5
1247,0.0,0.0,0.0
1233,0.5,0.3333333333333333,0.4
2209,0.0,0.0,0.0
642,0.0,0.3333333333333333,0.16666666666666666
587,0.0,0.5,0.25
1997,0.3333333333333333,0.0,0.16666666666666666
436,0.0,0.0,0.0
2414,0.0,0.0,0.0
1373,0.0,0.0,0.0
1388,0.0,0.0,0.0
147,0.0,0.0,0.0
924,0.0,0.0,0.0
2189,0.5,0.0,0.25
596,0.0,0.0,0.0
606,0.0,0.0,0.0
333,0.0,0.0,0.0
1274,0.5,0.0,0.25
248,0.0,0.0,0.0
1187,0.5,0.0,0.25
1494,0.0,0.3333333333333333,0.2
781,0.5,0.0,0.25
172,0.0,0.0,0.0
661,0.0,0.0,0.0
734,0.0,0.5,0.25
2510,0.5,0.5,0.5
1236,1.0,0.0,0.5
989,0.0,0.3333333333333333,0.2
91,0.0,0.3333333333333333,0.2
152,0.5,0.0,0.2
2113,0.0,0.0,0.0
586,0.5,0.0,0.25
409,0.5,0.0,0.25
1138,0.0,0.5,0.25
1872,0.0,0.0,0.0
2333,0.0,0.5,0.25
