,preserve,discover,total
2527,0.0,0.0,0.0
73,0.0,0.0,0.0
942,0.0,0.0,0.0
1596,0.3333333333333333,0.0,0.16666666666666666
183,0.0,0.3333333333333333,0.16666666666666666
1703,1.0,0.5,0.6666666666666666
1847,0.0,0.6666666666666666,0.3333333333333333
731,0.0,0.0,0.0
1066,0.0,0.3333333333333333,0.2
530,0.0,0.0,0.0
2468,0.0,0.0,0.0
2191,0.0,0.0,0.0
1969,0.0,0.0,0.0
735,0.0,0.0,0.0
1089,0.0,0.3333333333333333,0.2
688,0.0,0.0,0.0
1633,0.0,0.0,0.0
270,0.0,0.5,0.3333333333333333
2352,1.0,0.0,0.3333333333333333
776,0.0,0.0,0.0
32,0.0,0.0,0.0
1536,0.0,0.0,0.0
790,0.3333333333333333,0.0,0.16666666666666666
1225,0.0,0.3333333333333333,0.2
1205,0.0,0.0,0.0
389,0.5,0.0,0.2
25,0.0,0.3333333333333333,0.16666666666666666
2388,0.3333333333333333,0.3333333333333333,0.3333333333333333
2404,0.0,0.6666666666666666,0.4
734,0.5,0.0,0.25
1426,0.0,0.0,0.0
1020,0.5,0.0,0.25
2354,0.0,0.0,0.0
2513,0.5,0.0,0.25
1472,0.0,0.3333333333333333,0.16666666666666666
953,0.0,0.0,0.0
1008,0.6666666666666666,0.6666666666666666,0.6666666666666666
1402,0.5,0.0,0.2
584,0.0,0.0,0.0
1331,0.0,0.3333333333333333,0.16666666666666666
1931,0.0,0.0,0.0
1293,0.0,0.0,0.0
1223,0.0,0.6666666666666666,0.3333333333333333
1801,0.0,0.6666666666666666,0.3333333333333333
1040,0.0,0.0,0.0
1010,0.3333333333333333,0.6666666666666666,0.5
908,0.0,0.5,0.25
1199,0.0,0.0,0.0
1889,0.0,0.3333333333333333,0.16666666666666666
1932,0.0,0.0,0.0
377,0.0,0.0,0.0
1959,0.0,0.0,0.0
2246,0.0,0.0,0.0
1265,0.0,0.3333333333333333,0.2
65,0.0,0.3333333333333333,0.16666666666666666
854,0.5,0.0,0.25
564,0.0,0.0,0.0
837,0.0,0.0,0.0
161,0.0,0.5,0.3333333333333333
1791,0.0,0.6666666666666666,0.3333333333333333
