,preserve,discover,total
858,0.0,0.3333333333333333,0.16666666666666666
117,0.0,0.6666666666666666,0.4
1746,0.0,0.0,0.0
274,0.5,0.0,0.25
721,0.0,0.0,0.0
685,0.0,0.0,0.0
2316,0.0,0.0,0.0
1804,0.3333333333333333,0.0,0.16666666666666666
415,0.3333333333333333,0.3333333333333333,0.3333333333333333
1792,0.3333333333333333,0.3333333333333333,0.3333333333333333
1543,1.0,0.5,0.75
1462,0.0,0.5,0.3333333333333333
964,0.0,0.5,0.25
1172,0.0,0.3333333333333333,0.16666666666666666
1901,0.0,0.0,0.0
880,0.0,0.0,0.0
589,0.0,0.0,0.0
407,0.0,1.0,0.5
45,0.0,0.5,0.3333333333333333
166,0.3333333333333333,0.0,0.16666666666666666
844,0.0,0.3333333333333333,0.16666666666666666
273,0.0,0.0,0.0
207,0.0,0.0,0.0
2288,0.0,0.3333333333333333,0.2
2566,0.0,0.6666666666666666,0.3333333333333333
425,0.0,0.0,0.0
522,0.0,0.0,0.0
2445,0.0,0.0,0.0
644,0.5,0.6666666666666666,0.6
1516,0.0,0.0,0.0
1290,1.0,0.0,0.5
1609,0.5,0.5,0.5
2180,0.0,0.0,0.0
1269,0.0,0.0,0.0
1691,0.3333333333333333,0.0,0.16666666666666666
576,0.0,0.0,0.0
2051,0.0,0.0,0.0
1648,1.0,0.0,0.3333333333333333
1540,0.6666666666666666,0.6666666666666666,0.6666666666666666
2226,0.5,1.0,0.75
1139,0.0,0.0,0.0
770,0.6666666666666666,0.6666666666666666,0.6666666666666666
879,0.0,0.0,0.0
747,0.0,0.3333333333333333,0.2
2503,0.0,0.0,0.0
1051,0.0,0.5,0.3333333333333333
420,0.5,0.5,0.5
487,0.0,0.0,0.0
2331,1.0,0.0,0.3333333333333333
477,0.0,0.3333333333333333,0.2
642,0.0,0.6666666666666666,0.3333333333333333
1335,0.0,0.0,0.0
1795,0.0,0.3333333333333333,0.16666666666666666
148,0.0,0.3333333333333333,0.16666666666666666
331,1.0,0.5,0.75
2501,0.3333333333333333,0.0,0.16666666666666666
1476,1.0,0.0,0.3333333333333333
1614,0.3333333333333333,0.0,0.16666666666666666
573,0.0,0.5,0.25
14,0.0,0.0,0.0
1458,0.0,0.0,0.0
556,0.0,0.0,0.0
255,0.3333333333333333,0.0,0.16666666666666666
34,1.0,0.0,0.3333333333333333
1108,0.5,0.0,0.2
1184,0.0,0.0,0.0
1396,0.5,0.0,0.25
1076,0.0,0.0,0.0
1344,1.0,0.0,0.5
1095,0.0,0.6666666666666666,0.3333333333333333
239,0.3333333333333333,0.0,0.16666666666666666
1869,0.0,0.0,0.0
979,0.3333333333333333,0.0,0.16666666666666666
1420,0.5,0.5,0.5
2449,0.0,0.0,0.0
2428,0.0,0.5,0.3333333333333333
944,0.0,0.0,0.0
1949,0.3333333333333333,0.0,0.16666666666666666
996,0.3333333333333333,0.3333333333333333,0.3333333333333333
2450,0.0,0.0,0.0
1469,0.0,0.3333333333333333,0.2
559,0.0,0.0,0.0
1965,0.0,0.0,0.0
11,0.5,0.0,0.2
698,0.0,1.0,0.6666666666666666
2553,0.0,0.0,0.0
1598,0.0,0.0,0.0
650,0.0,0.0,0.0
1224,0.0,0.0,0.0
1405,0.3333333333333333,0.0,0.16666666666666666
791,0.5,0.3333333333333333,0.4
660,0.0,0.0,0.0
2183,0.0,0.5,0.3333333333333333
1807,0.0,0.0,0.0
2034,0.0,0.3333333333333333,0.16666666666666666
283,0.0,0.0,0.0
1707,0.0,0.0,0.0
1112,0.5,0.0,0.25
2350,0.0,0.0,0.0
1580,0.0,0.3333333333333333,0.2
2269,0.5,0.3333333333333333,0.4
92,0.0,0.0,0.0
290,0.0,0.5,0.3333333333333333
526,0.0,0.5,0.3333333333333333
814,0.0,0.0,0.0
893,0.5,0.0,0.2
828,0.3333333333333333,0.3333333333333333,0.3333333333333333
1754,0.0,0.0,0.0
532,0.0,0.0,0.0
1163,0.5,0.0,0.2
2529,0.0,0.5,0.3333333333333333
1371,0.5,0.0,0.2
366,0.5,0.0,0.2
610,0.0,0.0,0.0
1411,0.0,0.3333333333333333,0.2
