,preserve,discover,total
157,0.0,0.5,0.3333333333333333
2610,0.0,1.0,0.5
2234,0.5,0.0,0.2
1851,0.0,0.0,0.0
920,0.0,1.0,0.5
1095,0.0,0.0,0.0
1082,0.0,0.0,0.0
1900,0.0,0.0,0.0
520,0.5,0.5,0.5
2266,0.0,0.0,0.0
950,0.0,0.0,0.0
819,0.0,0.0,0.0
1921,0.0,0.0,0.0
400,0.3333333333333333,0.3333333333333333,0.3333333333333333
114,0.5,0.0,0.2
104,0.5,0.0,0.25
1386,0.3333333333333333,0.0,0.16666666666666666
617,0.0,0.3333333333333333,0.2
1958,0.0,0.0,0.0
2486,0.0,0.0,0.0
702,0.5,0.0,0.25
793,0.5,0.0,0.25
2540,0.0,0.3333333333333333,0.2
1568,0.0,0.0,0.0
1982,0.0,0.0,0.0
186,0.0,0.6666666666666666,0.3333333333333333
2085,0.0,0.3333333333333333,0.2
205,0.0,0.5,0.25
1018,1.0,0.0,0.3333333333333333
358,1.0,0.3333333333333333,0.6
1497,0.0,0.0,0.0
88,0.0,0.0,0.0
306,0.0,1.0,1.0
877,0.0,0.0,0.0
919,0.0,0.0,0.0
1489,0.0,0.3333333333333333,0.2
2297,0.0,0.0,0.0
2029,0.0,0.0,0.0
1962,0.0,0.3333333333333333,0.16666666666666666
234,0.5,0.0,0.2
758,0.3333333333333333,0.0,0.16666666666666666
2035,0.0,0.0,0.0
1406,0.0,0.0,0.0
1852,0.0,0.0,0.0
2065,0.0,0.0,0.0
826,1.0,0.0,0.3333333333333333
2452,0.0,0.3333333333333333,0.2
986,1.0,0.0,0.3333333333333333
392,0.0,0.5,0.3333333333333333
1405,0.0,0.3333333333333333,0.16666666666666666
2296,0.0,0.0,0.0
1584,0.0,0.0,0.0
1001,0.5,0.6666666666666666,0.6
19,0.3333333333333333,0.0,0.16666666666666666
669,0.0,0.5,0.3333333333333333
1801,0.3333333333333333,0.0,0.16666666666666666
1395,0.0,0.3333333333333333,0.16666666666666666
497,0.0,0.0,0.0
412,0.3333333333333333,0.6666666666666666,0.5
