,preserve,discover,total
2448,0.6666666666666666,0.0,0.3333333333333333
1029,0.0,0.3333333333333333,0.2
2127,0.0,0.0,0.0
2106,0.0,0.0,0.0
1235,1.0,0.0,0.5
1782,0.6666666666666666,0.3333333333333333,0.5
284,0.3333333333333333,0.3333333333333333,0.3333333333333333
1973,0.0,0.5,0.25
85,0.0,0.0,0.0
2392,0.5,0.0,0.2
609,0.0,0.0,0.0
615,0.0,0.0,0.0
2349,0.0,1.0,0.5
1308,0.0,0.0,0.0
1069,0.0,0.0,0.0
1107,0.5,0.0,0.25
972,0.0,0.0,0.0
1554,1.0,0.0,0.5
1655,0.0,0.3333333333333333,0.2
1092,0.0,0.0,0.0
2458,0.0,0.0,0.0
2269,0.5,0.0,0.2
1893,0.3333333333333333,0.0,0.16666666666666666
1288,0.0,0.0,0.0
2449,0.0,0.0,0.0
1445,0.0,0.0,0.0
1775,0.0,0.5,0.25
1153,0.0,0.3333333333333333,0.16666666666666666
200,0.3333333333333333,0.0,0.16666666666666666
253,0.6666666666666666,0.0,0.3333333333333333
2114,0.5,0.0,0.2
731,0.0,0.5,0.25
825,0.5,0.6666666666666666,0.6
507,0.0,0.0,0.0
2143,0.5,0.0,0.2
1828,0.3333333333333333,0.3333333333333333,0.3333333333333333
1964,0.0,0.3333333333333333,0.16666666666666666
1337,0.3333333333333333,0.6666666666666666,0.5
2248,0.0,0.0,0.0
2348,0.5,0.5,0.5
1390,0.0,0.0,0.0
1454,0.0,0.5,0.3333333333333333
1392,0.0,0.0,0.0
1535,0.0,0.3333333333333333,0.16666666666666666
577,0.5,0.0,0.25
2069,0.0,0.0,0.0
2025,0.0,0.0,0.0
876,0.6666666666666666,0.0,0.3333333333333333
1146,0.0,0.3333333333333333,0.16666666666666666
2256,0.0,0.3333333333333333,0.2
1537,0.0,0.0,0.0
729,0.6666666666666666,0.0,0.3333333333333333
889,0.0,0.0,0.0
2117,0.3333333333333333,0.0,0.16666666666666666
1886,0.5,0.5,0.5
148,0.3333333333333333,0.0,0.16666666666666666
1718,0.3333333333333333,0.3333333333333333,0.3333333333333333
1435,0.0,0.5,0.25
2052,0.5,0.0,0.25
911,0.5,0.5,0.5
2079,0.0,0.0,0.0
775,1.0,0.0,0.3333333333333333
2350,0.0,0.0,0.0
628,0.3333333333333333,0.3333333333333333,0.3333333333333333
211,0.0,0.0,0.0
463,0.0,0.0,0.0
490,0.0,0.6666666666666666,0.3333333333333333
1176,0.0,0.0,0.0
7,0.0,0.0,0.0
985,0.0,0.0,0.0
1531,0.0,0.0,0.0
1936,0.0,0.0,0.0
1962,0.3333333333333333,0.3333333333333333,0.3333333333333333
1799,0.6666666666666666,0.3333333333333333,0.5
476,0.3333333333333333,0.0,0.16666666666666666
308,0.0,0.6666666666666666,0.3333333333333333
1253,0.5,0.3333333333333333,0.4
1525,0.0,0.0,0.0
697,1.0,0.0,0.3333333333333333
113,0.0,0.0,0.0
980,0.5,0.0,0.2
1660,0.0,0.3333333333333333,0.16666666666666666
2104,0.0,0.0,0.0
2314,0.0,0.0,0.0
1178,0.0,0.5,0.25
2016,0.3333333333333333,0.0,0.16666666666666666
579,0.0,0.0,0.0
2299,0.0,0.0,0.0
2339,0.0,0.0,0.0
1855,1.0,0.0,0.5
868,0.0,1.0,0.5
2369,0.0,1.0,0.6666666666666666
364,0.0,0.0,0.0
1127,0.0,0.0,0.0
449,0.0,0.0,0.0
1702,0.5,0.0,0.25
1398,0.0,0.0,0.0
1521,0.0,0.0,0.0
1088,0.0,0.3333333333333333,0.2
2132,0.5,0.0,0.25
279,1.0,0.0,0.3333333333333333
403,0.0,0.5,0.25
326,1.0,0.0,0.5
852,0.0,0.0,0.0
1297,0.0,0.0,0.0
1976,0.0,0.0,0.0
362,0.0,0.0,0.0
1543,0.5,0.0,0.25
1901,0.0,0.0,0.0
997,0.0,0.3333333333333333,0.2
2330,0.0,0.0,0.0
828,1.0,0.0,0.5
883,0.0,0.5,0.25
1958,0.0,0.0,0.0
1520,0.0,0.3333333333333333,0.2
520,0.0,0.5,0.25
72,1.0,0.0,0.5
424,0.5,0.5,0.5
1480,0.0,0.6666666666666666,0.4
480,0.5,0.5,0.5
2500,0.0,0.0,0.0
1565,0.0,0.0,0.0
686,0.0,0.0,0.0
2189,0.0,0.5,0.25
2177,0.0,0.0,0.0
2383,0.0,0.0,0.0
306,0.0,0.0,0.0
1905,0.0,0.0,0.0
