,preserve,discover,total
1118,0.0,0.0,0.0
1123,0.0,0.0,0.0
643,0.5,0.0,0.25
1599,0.0,0.3333333333333333,0.16666666666666666
25,0.6666666666666666,0.3333333333333333,0.5
1767,0.0,0.0,0.0
2512,0.0,0.5,0.25
1063,0.0,0.0,0.0
1958,0.3333333333333333,0.0,0.16666666666666666
1766,0.0,0.0,0.0
488,0.5,0.3333333333333333,0.4
2219,1.0,0.0,0.3333333333333333
2574,0.0,0.0,0.0
1224,0.0,0.0,0.0
1540,0.0,0.3333333333333333,0.16666666666666666
546,0.0,0.0,0.0
1413,0.0,0.0,0.0
771,0.5,0.3333333333333333,0.4
1610,0.3333333333333333,0.0,0.16666666666666666
2243,0.0,0.0,0.0
2066,0.0,0.0,0.0
217,0.0,0.0,0.0
1853,0.0,0.0,0.0
257,1.0,0.0,0.3333333333333333
2563,0.0,0.0,0.0
1085,0.5,0.0,0.2
45,0.0,0.0,0.0
2187,0.5,0.0,0.25
2584,0.0,0.0,0.0
1185,0.0,0.5,0.25
618,1.0,0.0,0.5
1343,0.5,0.0,0.25
1436,0.0,0.0,0.0
670,0.0,0.0,0.0
1614,0.0,0.0,0.0
1799,0.0,0.6666666666666666,0.3333333333333333
2390,0.0,0.0,0.0
1100,1.0,0.3333333333333333,0.6666666666666666
2471,0.0,0.0,0.0
2429,0.0,0.3333333333333333,0.2
1309,0.5,0.0,0.25
1074,0.0,0.0,0.0
2229,0.5,0.0,0.2
1135,0.5,0.0,0.25
127,0.0,0.0,0.0
1023,0.5,0.0,0.25
1652,0.0,0.0,0.0
1839,0.0,0.0,0.0
2387,0.0,1.0,0.5
461,0.3333333333333333,0.0,0.16666666666666666
659,0.5,0.0,0.25
1402,0.0,0.0,0.0
458,0.3333333333333333,0.0,0.16666666666666666
1992,0.5,0.3333333333333333,0.4
752,0.0,0.0,0.0
2410,0.0,0.0,0.0
430,1.0,0.0,0.5
2090,0.0,0.0,0.0
1842,0.0,0.6666666666666666,0.3333333333333333
2201,0.0,0.0,0.0
1134,1.0,0.0,0.5
707,0.0,1.0,0.6666666666666666
2249,0.0,0.0,0.0
2150,0.0,0.0,0.0
388,0.0,0.3333333333333333,0.2
1273,0.0,0.5,0.25
899,1.0,0.0,0.3333333333333333
1637,0.3333333333333333,0.0,0.16666666666666666
1258,0.0,0.3333333333333333,0.2
1516,0.0,0.0,0.0
1388,0.0,0.0,0.0
498,0.0,0.0,0.0
227,0.0,0.0,0.0
1611,0.3333333333333333,0.0,0.16666666666666666
259,0.5,0.0,0.25
191,0.0,0.0,0.0
1479,0.0,0.0,0.0
453,0.3333333333333333,0.0,0.16666666666666666
2166,0.0,0.0,0.0
2284,0.0,0.6666666666666666,0.4
1476,0.0,0.5,0.3333333333333333
1748,0.0,0.3333333333333333,0.2
1397,0.5,0.0,0.25
2351,0.0,0.0,0.0
1068,0.0,0.0,0.0
130,0.0,0.0,0.0
1977,1.0,1.0,1.0
639,0.3333333333333333,0.3333333333333333,0.3333333333333333
2248,0.0,0.0,0.0
2516,0.0,0.0,0.0
445,0.0,0.0,0.0
1003,0.6666666666666666,0.0,0.3333333333333333
1369,0.0,0.3333333333333333,0.2
319,0.0,0.0,0.0
2381,0.0,0.5,0.25
1869,0.0,0.0,0.0
1220,1.0,0.0,0.3333333333333333
88,0.0,0.0,0.0
2417,0.5,0.0,0.25
969,0.0,0.3333333333333333,0.16666666666666666
2484,0.0,0.0,0.0
1884,0.0,0.0,0.0
1983,0.0,0.0,0.0
2423,0.0,0.3333333333333333,0.2
1268,0.3333333333333333,0.0,0.16666666666666666
57,1.0,0.0,0.3333333333333333
855,0.3333333333333333,0.0,0.16666666666666666
91,0.5,0.0,0.2
378,0.6666666666666666,0.0,0.3333333333333333
2414,0.0,0.0,0.0
1818,0.0,0.0,0.0
214,0.0,0.0,0.0
2194,0.0,0.0,0.0
334,0.0,0.0,0.0
308,0.3333333333333333,0.0,0.16666666666666666
863,1.0,0.0,0.5
148,0.0,0.6666666666666666,0.3333333333333333
2465,0.0,0.3333333333333333,0.2
18,0.0,0.6666666666666666,0.4
1513,0.3333333333333333,0.0,0.16666666666666666
89,0.5,0.0,0.2
500,0.0,0.6666666666666666,0.3333333333333333
892,0.0,0.3333333333333333,0.2
1174,0.0,1.0,0.6
657,0.0,0.0,0.0
1292,0.0,0.0,0.0
228,0.0,0.0,0.0
250,0.0,0.0,0.0
147,0.0,0.6666666666666666,0.3333333333333333
2127,0.3333333333333333,0.0,0.16666666666666666
1064,0.0,0.0,0.0
2375,0.0,0.0,0.0
669,0.0,0.0,0.0
1251,0.0,0.0,0.0
1962,0.0,0.6666666666666666,0.3333333333333333
712,0.0,0.0,0.0
1948,0.0,0.0,0.0
531,0.0,0.5,0.3333333333333333
2577,0.0,0.3333333333333333,0.16666666666666666
692,0.0,0.3333333333333333,0.16666666666666666
867,0.0,0.3333333333333333,0.16666666666666666
540,0.0,0.3333333333333333,0.16666666666666666
1028,0.0,0.0,0.0
340,0.3333333333333333,0.0,0.16666666666666666
487,0.0,0.0,0.0
1981,0.0,0.3333333333333333,0.16666666666666666
2570,0.0,0.0,0.0
2318,0.0,0.0,0.0
705,0.0,0.0,0.0
782,0.0,0.0,0.0
2084,0.5,0.5,0.5
631,0.0,0.3333333333333333,0.2
219,0.0,0.0,0.0
2604,0.5,0.0,0.2
1743,0.6666666666666666,0.0,0.3333333333333333
1913,0.0,0.3333333333333333,0.16666666666666666
1653,0.5,0.3333333333333333,0.4
910,0.0,0.0,0.0
81,1.0,0.0,0.5
1117,0.0,0.0,0.0
975,0.0,0.0,0.0
1039,0.0,0.0,0.0
1638,0.5,0.0,0.2
2442,0.0,0.0,0.0
1176,0.0,0.0,0.0
1634,0.0,0.0,0.0
1511,0.0,1.0,0.5
1579,0.0,0.0,0.0
617,0.5,0.3333333333333333,0.4
2503,1.0,0.0,0.3333333333333333
572,0.0,0.6666666666666666,0.4
1186,0.5,0.5,0.5
389,0.5,0.0,0.2
2174,0.0,0.6666666666666666,0.3333333333333333
279,0.0,0.0,0.0
248,0.0,1.0,0.5
236,0.0,0.5,0.3333333333333333
2005,0.0,0.0,0.0
2518,0.0,0.0,0.0
1269,0.0,0.0,0.0
492,0.0,0.0,0.0
1793,0.0,0.3333333333333333,0.16666666666666666
2114,0.5,0.0,0.2
2331,0.0,0.0,0.0
1570,0.0,0.0,0.0
760,0.0,1.0,0.5
1244,0.0,0.0,0.0
2105,0.3333333333333333,0.0,0.16666666666666666
1308,0.5,0.0,0.25
447,0.0,0.0,0.0
1405,0.3333333333333333,0.3333333333333333,0.3333333333333333
687,0.5,0.5,0.5
208,0.0,0.3333333333333333,0.2
798,1.0,0.0,0.3333333333333333
1359,0.0,0.3333333333333333,0.2
2255,0.5,0.0,0.25
878,0.0,0.0,0.0
1231,0.0,0.3333333333333333,0.16666666666666666
1746,0.0,0.0,0.0
542,0.0,0.0,0.0
1470,0.0,0.0,0.0
1803,0.3333333333333333,0.0,0.16666666666666666
1706,0.5,0.0,0.2
475,0.0,0.0,0.0
1811,0.0,0.0,0.0
