,preserve,discover,total
2221,0.0,0.5,0.3333333333333333
436,0.5,0.3333333333333333,0.4
227,0.0,0.5,0.3333333333333333
1858,0.0,0.0,0.0
610,0.0,0.0,0.0
1977,0.0,0.0,0.0
3,0.0,0.0,0.0
1089,0.5,0.0,0.2
1203,0.0,0.0,0.0
150,0.0,0.0,0.0
1967,0.0,0.3333333333333333,0.16666666666666666
2073,0.0,0.0,0.0
1923,0.0,0.6666666666666666,0.4
1172,0.0,0.3333333333333333,0.16666666666666666
2022,0.0,0.0,0.0
1052,1.0,0.0,0.3333333333333333
2098,0.0,0.0,0.0
339,0.0,0.0,0.0
1465,0.5,0.0,0.25
1170,0.0,0.0,0.0
180,0.6666666666666666,0.0,0.3333333333333333
1536,0.0,0.0,0.0
1044,0.0,0.0,0.0
2470,0.0,0.0,0.0
965,0.0,0.3333333333333333,0.16666666666666666
1947,0.5,0.0,0.2
2443,0.0,0.0,0.0
413,0.3333333333333333,0.3333333333333333,0.3333333333333333
1417,0.0,0.3333333333333333,0.16666666666666666
645,0.0,0.3333333333333333,0.16666666666666666
138,0.6666666666666666,0.3333333333333333,0.5
869,0.0,0.6666666666666666,0.3333333333333333
2236,0.0,0.0,0.0
1009,0.3333333333333333,0.3333333333333333,0.3333333333333333
2368,0.3333333333333333,0.0,0.16666666666666666
1869,0.0,0.0,0.0
1042,0.0,0.0,0.0
2142,0.5,0.0,0.2
1970,0.5,0.0,0.25
2020,0.5,0.0,0.2
13,1.0,0.0,0.5
2456,0.5,0.3333333333333333,0.4
1956,0.0,0.0,0.0
2299,0.0,0.0,0.0
2095,0.0,0.0,0.0
583,0.0,0.0,0.0
2428,0.0,0.0,0.0
839,0.0,0.0,0.0
2488,0.0,0.0,0.0
1474,0.3333333333333333,0.3333333333333333,0.3333333333333333
2201,0.0,0.0,0.0
1684,0.0,0.3333333333333333,0.16666666666666666
216,0.3333333333333333,0.0,0.16666666666666666
1318,0.0,0.3333333333333333,0.2
2218,1.0,0.0,0.3333333333333333
765,0.0,0.0,0.0
325,0.5,0.0,0.25
1683,0.0,0.0,0.0
2296,0.0,0.0,0.0
106,0.0,0.0,0.0
1894,0.5,0.3333333333333333,0.4
1624,0.3333333333333333,0.0,0.16666666666666666
173,0.0,0.0,0.0
1661,0.6666666666666666,0.0,0.3333333333333333
1225,0.5,0.0,0.2
1328,1.0,0.0,0.3333333333333333
433,0.0,0.3333333333333333,0.2
987,0.0,0.0,0.0
61,0.0,0.0,0.0
235,0.3333333333333333,0.3333333333333333,0.3333333333333333
384,0.0,0.0,0.0
2482,0.5,0.5,0.5
1127,0.5,0.0,0.25
1351,0.6666666666666666,0.0,0.3333333333333333
2127,0.3333333333333333,0.0,0.16666666666666666
2579,0.0,0.0,0.0
1234,0.0,0.3333333333333333,0.2
414,0.0,0.0,0.0
890,0.5,0.0,0.2
1215,0.0,0.5,0.25
2465,0.0,0.3333333333333333,0.2
1738,0.0,0.5,0.3333333333333333
1388,0.0,0.0,0.0
863,0.0,0.0,0.0
1995,0.0,0.0,0.0
