,preserve,discover,total
2438,0.3333333333333333,0.0,0.16666666666666666
1299,0.0,0.0,0.0
1045,0.6666666666666666,0.6666666666666666,0.6666666666666666
1239,0.6666666666666666,0.3333333333333333,0.5
781,0.0,0.0,0.0
289,1.0,0.6666666666666666,0.8
2085,0.5,0.0,0.2
116,0.5,0.0,0.2
705,0.3333333333333333,0.0,0.16666666666666666
639,0.0,0.3333333333333333,0.16666666666666666
1979,0.3333333333333333,0.0,0.16666666666666666
1727,0.5,0.3333333333333333,0.4
363,0.0,0.5,0.3333333333333333
1034,0.5,0.0,0.2
1822,0.0,0.0,0.0
228,0.5,0.3333333333333333,0.4
2515,0.0,0.0,0.0
2200,0.0,0.0,0.0
748,0.0,1.0,0.5
2154,0.0,0.0,0.0
2407,0.6666666666666666,1.0,0.8333333333333334
1056,0.0,0.5,0.3333333333333333
331,1.0,1.0,1.0
2178,0.0,0.0,0.0
1580,0.0,0.0,0.0
32,0.0,0.6666666666666666,0.4
1734,0.3333333333333333,0.0,0.16666666666666666
2198,0.5,0.0,0.25
1964,0.3333333333333333,0.3333333333333333,0.3333333333333333
1334,0.0,0.5,0.3333333333333333
1791,0.0,0.3333333333333333,0.16666666666666666
554,0.0,0.0,0.0
392,1.0,0.0,0.3333333333333333
239,0.0,0.3333333333333333,0.16666666666666666
2449,0.0,0.0,0.0
2099,0.5,0.0,0.25
1664,0.3333333333333333,0.3333333333333333,0.3333333333333333
2443,0.0,0.0,0.0
1073,0.0,0.0,0.0
836,0.0,0.0,0.0
1772,0.0,0.0,0.0
1014,0.5,0.3333333333333333,0.4
2219,0.0,0.5,0.3333333333333333
1212,0.0,0.3333333333333333,0.2
933,0.0,0.0,0.0
1289,1.0,0.0,0.5
615,0.5,0.5,0.5
1875,0.6666666666666666,0.0,0.3333333333333333
1562,0.5,0.0,0.25
2337,0.5,0.3333333333333333,0.4
2466,0.0,0.0,0.0
2534,0.0,0.0,0.0
512,0.0,0.0,0.0
1054,0.0,0.5,0.3333333333333333
1947,1.0,0.3333333333333333,0.6
1000,0.0,0.0,0.0
1890,0.5,0.0,0.2
626,0.0,0.0,0.0
682,0.0,0.0,0.0
1815,0.0,0.3333333333333333,0.16666666666666666
856,0.0,0.0,0.0
1842,0.0,0.0,0.0
1596,0.3333333333333333,0.3333333333333333,0.3333333333333333
2497,0.0,0.0,0.0
1864,0.0,0.0,0.0
1731,0.0,0.0,0.0
1114,0.0,0.0,0.0
776,0.0,0.0,0.0
888,0.0,0.0,0.0
989,1.0,0.0,0.4
229,0.0,0.3333333333333333,0.2
269,0.5,0.5,0.5
2547,0.0,0.0,0.0
1522,0.5,0.0,0.2
791,0.5,0.6666666666666666,0.6
2462,0.3333333333333333,0.3333333333333333,0.3333333333333333
1965,0.0,0.0,0.0
1447,1.0,0.0,0.5
1521,0.0,0.0,0.0
329,0.0,0.5,0.25
1162,0.6666666666666666,0.3333333333333333,0.5
1944,0.0,0.0,0.0
994,0.5,0.0,0.25
411,0.5,0.0,0.25
2019,0.0,1.0,0.5
81,0.0,0.0,0.0
1932,0.0,0.0,0.0
1592,0.6666666666666666,0.0,0.3333333333333333
1585,0.0,0.0,0.0
1724,1.0,0.0,0.5
1058,0.6666666666666666,0.3333333333333333,0.5
177,0.0,0.0,0.0
2006,1.0,0.0,0.5
235,0.0,0.0,0.0
2262,0.3333333333333333,0.0,0.16666666666666666
27,0.5,0.3333333333333333,0.4
2016,0.3333333333333333,0.0,0.16666666666666666
1705,0.0,0.3333333333333333,0.2
946,0.6666666666666666,0.0,0.3333333333333333
596,0.5,0.0,0.2
1603,0.0,0.0,0.0
2521,0.5,0.6666666666666666,0.6
2175,0.5,0.5,0.5
762,0.5,0.0,0.2
1286,0.0,0.0,0.0
2405,0.5,0.0,0.2
2238,0.0,0.0,0.0
1464,1.0,0.0,0.3333333333333333
2220,1.0,0.0,0.3333333333333333
1339,0.3333333333333333,0.0,0.16666666666666666
202,0.0,0.0,0.0
2185,0.0,0.3333333333333333,0.2
943,0.6666666666666666,0.0,0.3333333333333333
1828,0.0,0.3333333333333333,0.16666666666666666
838,0.0,0.0,0.0
2558,0.0,0.0,0.0
1906,0.0,0.0,0.0
2488,0.0,0.0,0.0
1544,0.0,0.3333333333333333,0.16666666666666666
387,0.5,0.0,0.2
351,0.3333333333333333,0.0,0.16666666666666666
2535,0.0,0.0,0.0
336,0.3333333333333333,0.0,0.16666666666666666
534,0.0,0.3333333333333333,0.2
2168,0.5,0.0,0.25
683,0.0,0.0,0.0
1359,0.5,0.3333333333333333,0.4
565,0.0,0.6666666666666666,0.3333333333333333
1454,0.0,0.5,0.3333333333333333
308,1.0,1.0,1.0
2291,0.0,0.0,0.0
1012,0.0,0.3333333333333333,0.16666666666666666
161,0.0,0.0,0.0
507,0.0,0.0,0.0
897,0.6666666666666666,0.3333333333333333,0.5
370,0.5,0.0,0.25
1615,0.3333333333333333,0.3333333333333333,0.3333333333333333
2073,0.0,0.0,0.0
1224,0.0,0.0,0.0
2302,0.0,0.0,0.0
610,0.0,0.0,0.0
799,0.0,0.0,0.0
58,0.5,0.0,0.2
1696,0.3333333333333333,0.0,0.16666666666666666
724,0.0,0.0,0.0
657,0.0,0.0,0.0
1304,0.5,0.5,0.5
478,0.0,0.0,0.0
757,0.0,0.0,0.0
332,1.0,0.5,0.75
488,0.5,0.0,0.2
552,1.0,0.0,0.3333333333333333
34,1.0,0.0,0.3333333333333333
15,0.0,0.5,0.25
1126,0.0,0.0,0.0
494,0.0,0.0,0.0
467,0.0,1.0,0.6
2142,0.0,0.0,0.0
1573,1.0,0.0,0.5
1245,0.0,0.5,0.3333333333333333
1717,0.3333333333333333,0.0,0.16666666666666666
1732,0.0,0.0,0.0
1378,0.0,0.0,0.0
1558,0.5,0.0,0.25
1453,0.0,0.3333333333333333,0.16666666666666666
597,0.0,0.0,0.0
1177,0.5,0.5,0.5
1291,0.5,0.0,0.25
2102,0.3333333333333333,0.0,0.16666666666666666
972,0.3333333333333333,0.0,0.16666666666666666
341,0.0,0.0,0.0
1621,0.3333333333333333,0.0,0.16666666666666666
2344,0.5,0.0,0.2
1693,0.5,0.0,0.2
935,0.0,0.0,0.0
2338,0.0,0.3333333333333333,0.2
1460,0.0,0.3333333333333333,0.16666666666666666
1542,0.0,0.0,0.0
1214,0.0,0.0,0.0
877,0.0,0.0,0.0
47,1.0,1.0,1.0
2578,0.0,0.5,0.25
2457,0.5,0.0,0.2
2343,0.0,0.0,0.0
1184,0.0,0.0,0.0
1703,0.0,0.5,0.3333333333333333
456,0.0,0.0,0.0
1847,0.3333333333333333,0.3333333333333333,0.3333333333333333
111,0.0,0.3333333333333333,0.2
2537,0.3333333333333333,0.0,0.16666666666666666
1480,0.5,0.3333333333333333,0.4
560,0.5,0.0,0.2
2352,0.0,0.0,0.0
1498,0.5,0.0,0.25
503,1.0,0.6666666666666666,0.8333333333333334
1071,0.0,0.0,0.0
1885,0.0,0.0,0.0
268,1.0,0.0,0.5
2100,0.0,0.0,0.0
1526,0.0,0.0,0.0
1033,0.3333333333333333,0.0,0.16666666666666666
1931,0.6666666666666666,0.6666666666666666,0.6666666666666666
952,0.0,0.0,0.0
2523,1.0,0.0,0.4
1228,0.5,0.6666666666666666,0.6
893,0.5,0.0,0.2
1666,0.6666666666666666,0.3333333333333333,0.5
2507,0.5,0.0,0.2
2189,0.5,0.0,0.25
648,0.0,0.3333333333333333,0.2
2427,1.0,0.0,0.5
1503,0.6666666666666666,0.0,0.3333333333333333
2271,0.0,0.0,0.0
180,0.6666666666666666,1.0,0.8333333333333334
484,0.3333333333333333,0.0,0.16666666666666666
2007,0.6666666666666666,0.3333333333333333,0.5
2305,0.0,0.0,0.0
913,0.0,0.0,0.0
1469,0.5,0.0,0.2
2485,1.0,0.5,0.75
1541,0.3333333333333333,0.0,0.16666666666666666
2477,0.0,0.0,0.0
2197,0.5,0.0,0.25
1296,0.0,0.0,0.0
1819,0.0,0.0,0.0
1179,0.5,0.0,0.25
774,1.0,0.0,0.3333333333333333
829,0.0,0.3333333333333333,0.2
2448,0.0,0.3333333333333333,0.16666666666666666
1236,0.0,0.0,0.0
2536,0.0,0.0,0.0
804,0.0,0.0,0.0
2600,0.0,0.0,0.0
1765,0.0,0.0,0.0
561,0.0,0.5,0.3333333333333333
728,0.0,0.3333333333333333,0.16666666666666666
1025,0.0,0.5,0.25
2109,1.0,0.3333333333333333,0.6666666666666666
150,0.0,0.3333333333333333,0.2
598,0.0,0.0,0.0
305,0.5,0.0,0.25
911,0.0,0.5,0.25
1389,0.0,0.0,0.0
925,0.5,0.0,0.2
1473,0.5,0.0,0.25
698,1.0,0.0,0.3333333333333333
2496,1.0,0.0,0.3333333333333333
2489,0.5,0.0,0.25
159,1.0,1.0,1.0
1506,0.3333333333333333,0.0,0.16666666666666666
1040,0.0,0.0,0.0
864,0.3333333333333333,0.0,0.16666666666666666
2482,0.0,0.0,0.0
222,0.0,0.0,0.0
855,0.3333333333333333,0.0,0.16666666666666666
1159,0.3333333333333333,0.3333333333333333,0.3333333333333333
1898,0.0,0.0,0.0
755,0.3333333333333333,0.3333333333333333,0.3333333333333333
998,0.0,0.0,0.0
1066,0.0,0.0,0.0
1719,0.0,0.0,0.0
1959,0.0,0.0,0.0
1966,0.6666666666666666,0.3333333333333333,0.5
2358,0.0,0.0,0.0
1169,0.0,0.5,0.25
1975,0.0,0.0,0.0
2409,0.3333333333333333,1.0,0.6666666666666666
1103,0.0,0.0,0.0
2306,0.0,0.3333333333333333,0.16666666666666666
1381,0.0,0.0,0.0
1736,1.0,0.0,0.5
2298,0.0,0.0,0.0
694,0.0,0.0,0.0
1097,0.5,0.0,0.25
1463,1.0,0.0,0.3333333333333333
2288,0.0,0.0,0.0
2359,1.0,0.0,0.3333333333333333
2545,0.5,0.0,0.25
122,0.0,0.0,0.0
2022,0.0,0.0,0.0
2132,0.0,0.0,0.0
638,1.0,0.3333333333333333,0.6666666666666666
1491,0.0,0.0,0.0
491,0.0,0.0,0.0
912,0.5,0.0,0.2
1397,1.0,0.5,0.75
1701,0.6666666666666666,0.3333333333333333,0.5
1530,0.0,0.3333333333333333,0.2
1255,0.0,0.0,0.0
2520,0.0,0.0,0.0
526,0.0,0.0,0.0
949,0.0,0.0,0.0
1518,0.6666666666666666,0.0,0.3333333333333333
382,0.0,0.0,0.0
756,0.3333333333333333,0.0,0.16666666666666666
1306,1.0,0.0,0.3333333333333333
264,0.5,0.3333333333333333,0.4
2429,0.0,0.0,0.0
1826,0.0,0.0,0.0
2360,0.0,0.0,0.0
2502,0.0,0.0,0.0
2451,0.0,0.0,0.0
38,0.0,0.0,0.0
1861,0.0,0.0,0.0
905,0.0,0.0,0.0
1413,0.0,0.0,0.0
1950,0.5,0.5,0.5
1766,0.0,0.0,0.0
1563,0.0,0.0,0.0
1020,0.5,0.0,0.25
564,0.0,0.0,0.0
1970,0.5,0.0,0.25
1737,0.5,0.5,0.5
513,0.0,0.0,0.0
1425,0.0,0.0,0.0
1308,0.5,0.5,0.5
1501,0.0,0.5,0.3333333333333333
984,1.0,0.0,0.3333333333333333
485,0.3333333333333333,0.3333333333333333,0.3333333333333333
1076,0.0,0.0,0.0
198,0.6666666666666666,0.0,0.3333333333333333
225,0.0,0.0,0.0
704,0.0,0.5,0.3333333333333333
339,0.3333333333333333,0.0,0.16666666666666666
1155,0.0,0.3333333333333333,0.16666666666666666
1863,1.0,0.0,0.3333333333333333
1614,0.0,0.0,0.0
1207,0.0,0.0,0.0
243,0.0,0.0,0.0
86,0.0,0.0,0.0
1441,0.5,0.0,0.25
1918,0.0,0.5,0.25
1729,0.0,0.0,0.0
114,1.0,0.0,0.4
2174,0.3333333333333333,1.0,0.6666666666666666
113,0.0,0.3333333333333333,0.2
368,0.5,0.0,0.25
1916,0.0,0.0,0.0
276,0.5,0.5,0.5
2385,0.0,0.0,0.0
322,0.3333333333333333,0.3333333333333333,0.3333333333333333
1372,1.0,0.0,0.3333333333333333
338,0.0,0.0,0.0
1628,0.3333333333333333,0.0,0.16666666666666666
1459,0.5,0.5,0.5
279,1.0,0.5,0.6666666666666666
48,0.0,0.0,0.0
2455,0.5,0.0,0.2
1225,0.0,0.3333333333333333,0.2
2587,0.5,0.3333333333333333,0.4
2556,0.3333333333333333,0.0,0.16666666666666666
2003,0.0,0.3333333333333333,0.2
802,0.0,0.0,0.0
1256,0.3333333333333333,0.3333333333333333,0.3333333333333333
1406,0.0,0.0,0.0
1041,0.3333333333333333,0.6666666666666666,0.5
1428,1.0,0.0,0.3333333333333333
1789,0.6666666666666666,0.0,0.3333333333333333
355,0.0,0.0,0.0
2509,0.0,0.3333333333333333,0.16666666666666666
45,1.0,0.0,0.3333333333333333
1174,0.0,0.3333333333333333,0.2
99,0.0,0.0,0.0
348,1.0,0.0,0.5
1953,0.0,0.3333333333333333,0.2
2308,0.0,0.6666666666666666,0.3333333333333333
2440,0.0,0.3333333333333333,0.2
2316,1.0,0.0,0.5
1090,0.3333333333333333,0.0,0.16666666666666666
1092,0.5,0.3333333333333333,0.4
1820,0.0,0.0,0.0
1223,0.0,0.0,0.0
1915,0.0,0.0,0.0
356,0.5,0.3333333333333333,0.4
1049,0.0,0.0,0.0
2368,0.0,0.0,0.0
1404,0.0,0.3333333333333333,0.16666666666666666
2519,0.0,0.0,0.0
2539,0.0,0.0,0.0
1976,0.0,0.5,0.3333333333333333
230,1.0,0.0,0.4
1283,0.0,0.0,0.0
948,0.3333333333333333,0.0,0.16666666666666666
612,0.5,0.0,0.2
786,0.3333333333333333,0.0,0.16666666666666666
307,1.0,0.0,0.5
1091,0.5,1.0,0.75
1203,0.0,0.0,0.0
896,0.3333333333333333,0.6666666666666666,0.5
2113,0.6666666666666666,0.3333333333333333,0.5
870,0.0,0.3333333333333333,0.2
947,0.0,0.0,0.0
687,0.5,0.5,0.5
2590,0.0,0.0,0.0
1800,0.0,0.0,0.0
2017,0.0,0.6666666666666666,0.3333333333333333
832,0.3333333333333333,0.0,0.16666666666666666
1902,0.6666666666666666,0.0,0.3333333333333333
1429,0.3333333333333333,0.0,0.16666666666666666
734,0.5,0.0,0.25
1252,0.0,0.6666666666666666,0.4
1721,0.0,0.0,0.0
1841,0.6666666666666666,0.6666666666666666,0.6666666666666666
2145,0.0,0.5,0.3333333333333333
100,0.0,0.0,0.0
439,0.0,0.0,0.0
1129,0.0,0.0,0.0
1329,0.0,0.5,0.25
449,0.0,0.0,0.0
772,0.0,0.0,0.0
807,1.0,0.0,0.3333333333333333
2216,0.0,0.3333333333333333,0.16666666666666666
1106,0.0,0.5,0.3333333333333333
174,0.3333333333333333,0.0,0.16666666666666666
2135,0.5,0.0,0.25
759,0.0,0.0,0.0
1726,0.0,0.0,0.0
1472,0.0,0.0,0.0
571,1.0,0.5,0.6666666666666666
1702,0.5,0.0,0.25
434,1.0,0.0,0.3333333333333333
20,0.6666666666666666,0.3333333333333333,0.5
1607,0.0,0.0,0.0
2564,0.0,0.0,0.0
867,0.3333333333333333,1.0,0.6666666666666666
151,0.0,0.0,0.0
891,0.0,0.0,0.0
2356,0.0,0.0,0.0
1549,0.5,0.0,0.25
1380,1.0,0.3333333333333333,0.6
624,0.0,0.5,0.25
1348,1.0,0.3333333333333333,0.6666666666666666
996,0.3333333333333333,0.0,0.16666666666666666
980,0.5,0.3333333333333333,0.4
184,0.3333333333333333,0.0,0.16666666666666666
1282,0.0,0.0,0.0
417,0.0,0.0,0.0
1575,0.5,0.0,0.25
1294,0.0,0.0,0.0
2146,0.0,0.3333333333333333,0.2
298,0.0,0.0,0.0
736,0.5,0.5,0.5
1770,0.0,0.0,0.0
660,0.0,0.0,0.0
1335,0.0,1.0,1.0
2365,0.0,0.6666666666666666,0.3333333333333333
1326,0.0,0.0,0.0
2130,0.0,0.0,0.0
201,0.5,0.3333333333333333,0.4
1935,0.5,0.0,0.25
1886,1.0,0.0,0.5
1196,0.0,0.0,0.0
2239,0.0,0.0,0.0
2321,0.0,0.0,0.0
2138,0.0,0.0,0.0
1064,0.5,0.0,0.25
1325,0.0,0.0,0.0
127,0.0,0.6666666666666666,0.4
333,0.5,0.0,0.2
3,0.0,0.0,0.0
437,0.0,0.0,0.0
962,0.0,0.0,0.0
1285,0.5,0.0,0.25
1343,0.5,1.0,0.75
2471,0.0,0.0,0.0
1290,0.5,0.0,0.25
2276,0.5,0.5,0.5
28,0.0,0.0,0.0
2572,0.0,0.0,0.0
1955,0.0,0.0,0.0
83,0.0,0.3333333333333333,0.16666666666666666
183,0.3333333333333333,0.0,0.16666666666666666
692,0.6666666666666666,0.0,0.3333333333333333
1716,0.0,0.0,0.0
768,1.0,0.3333333333333333,0.6666666666666666
1052,0.0,0.0,0.0
1089,0.5,0.0,0.2
1759,0.0,0.0,0.0
555,0.5,0.0,0.2
2058,0.0,0.0,0.0
1005,1.0,1.0,1.0
2090,0.0,0.0,0.0
1156,0.6666666666666666,0.0,0.3333333333333333
67,0.0,0.3333333333333333,0.16666666666666666
1456,0.3333333333333333,0.0,0.16666666666666666
1715,0.0,0.0,0.0
1373,0.0,0.0,0.0
71,0.0,0.0,0.0
1415,0.0,0.3333333333333333,0.2
613,0.0,0.0,0.0
1610,0.0,0.3333333333333333,0.16666666666666666
443,0.5,0.6666666666666666,0.6
1153,0.3333333333333333,0.0,0.16666666666666666
2075,0.0,0.0,0.0
2059,0.3333333333333333,0.0,0.16666666666666666
1115,0.0,0.0,0.0
582,0.5,0.3333333333333333,0.4
745,0.0,0.0,0.0
2274,0.0,0.0,0.0
317,0.0,0.3333333333333333,0.16666666666666666
62,0.5,0.3333333333333333,0.4
1271,0.0,0.0,0.0
1926,0.5,0.0,0.2
812,0.5,0.3333333333333333,0.4
2069,0.0,0.0,0.0
1528,0.5,0.0,0.25
2478,0.0,0.0,0.0
1560,0.0,0.0,0.0
2340,0.6666666666666666,0.0,0.3333333333333333
384,0.3333333333333333,0.0,0.16666666666666666
741,0.0,0.0,0.0
2450,1.0,0.0,0.5
2222,1.0,0.5,0.6666666666666666
2441,0.6666666666666666,0.0,0.3333333333333333
1949,0.0,0.3333333333333333,0.16666666666666666
1525,0.0,0.0,0.0
125,0.0,0.0,0.0
17,0.6666666666666666,0.3333333333333333,0.5
1471,0.3333333333333333,0.3333333333333333,0.3333333333333333
899,0.0,0.0,0.0
53,0.0,0.0,0.0
531,1.0,0.0,0.3333333333333333
481,0.5,0.0,0.25
1258,0.5,0.6666666666666666,0.6
245,0.0,0.0,0.0
1767,0.0,0.5,0.3333333333333333
480,0.0,0.0,0.0
157,1.0,0.0,0.3333333333333333
24,0.3333333333333333,0.0,0.16666666666666666
1499,0.0,0.5,0.25
108,0.6666666666666666,0.0,0.3333333333333333
2259,1.0,0.0,0.5
751,1.0,0.0,0.3333333333333333
90,0.0,0.0,0.0
816,1.0,0.0,0.4
691,0.0,0.0,0.0
2396,0.6666666666666666,0.3333333333333333,0.5
247,0.0,0.5,0.25
2186,0.0,0.5,0.25
2328,0.5,0.0,0.25
746,0.0,0.3333333333333333,0.16666666666666666
735,0.5,0.0,0.25
2418,0.0,0.0,0.0
1217,0.0,0.0,0.0
263,1.0,0.0,0.4
1588,0.0,0.0,0.0
548,1.0,0.5,0.6666666666666666
319,0.0,0.0,0.0
697,1.0,0.5,0.6666666666666666
381,0.0,0.0,0.0
140,0.3333333333333333,0.3333333333333333,0.3333333333333333
215,0.0,0.0,0.0
1192,0.6666666666666666,0.6666666666666666,0.6666666666666666
1958,0.6666666666666666,0.3333333333333333,0.5
1147,0.0,0.0,0.0
1038,0.3333333333333333,0.3333333333333333,0.3333333333333333
1151,0.6666666666666666,0.0,0.3333333333333333
1657,0.3333333333333333,0.0,0.16666666666666666
130,0.0,0.0,0.0
931,0.5,0.5,0.5
187,0.5,0.0,0.25
828,0.0,0.3333333333333333,0.16666666666666666
1878,0.0,0.0,0.0
444,0.3333333333333333,0.0,0.16666666666666666
237,0.0,0.0,0.0
1117,0.0,0.0,0.0
1817,0.3333333333333333,0.6666666666666666,0.5
1080,0.0,0.0,0.0
1835,0.0,0.0,0.0
40,1.0,0.0,0.3333333333333333
2522,0.5,0.5,0.5
313,0.5,0.3333333333333333,0.4
2173,1.0,0.0,0.5
13,0.5,0.5,0.5
1559,0.0,0.0,0.0
1365,0.6666666666666666,0.0,0.3333333333333333
1546,0.5,0.0,0.2
690,1.0,0.0,0.3333333333333333
2553,0.0,0.0,0.0
515,0.0,0.0,0.0
2253,0.0,0.0,0.0
1564,0.0,0.0,0.0
1027,1.0,0.0,0.5
886,0.0,0.0,0.0
2246,0.0,1.0,0.5
2055,0.0,0.3333333333333333,0.16666666666666666
645,0.0,0.0,0.0
2528,0.0,0.0,0.0
2364,0.6666666666666666,0.3333333333333333,0.5
1750,0.0,0.0,0.0
1333,0.3333333333333333,0.0,0.16666666666666666
661,0.0,0.0,0.0
1243,0.0,0.0,0.0
871,0.5,0.0,0.2
979,0.0,0.6666666666666666,0.3333333333333333
2024,0.0,0.0,0.0
985,0.0,0.0,0.0
79,0.0,0.0,0.0
1788,0.3333333333333333,0.3333333333333333,0.3333333333333333
1700,0.6666666666666666,0.3333333333333333,0.5
2512,0.5,0.0,0.25
270,0.0,0.0,0.0
1176,0.0,0.0,0.0
402,0.0,0.0,0.0
2203,0.5,0.3333333333333333,0.4
524,0.0,0.5,0.3333333333333333
2402,0.0,0.0,0.0
2599,0.0,0.0,0.0
1648,0.0,0.0,0.0
2057,0.5,0.0,0.2
1778,0.0,0.0,0.0
1148,0.0,1.0,1.0
156,0.0,0.0,0.0
1437,0.3333333333333333,0.6666666666666666,0.5
2033,0.0,0.0,0.0
2508,1.0,0.0,0.4
944,0.0,0.0,0.0
630,0.0,0.0,0.0
1630,0.3333333333333333,0.3333333333333333,0.3333333333333333
1644,0.3333333333333333,0.0,0.16666666666666666
1752,0.3333333333333333,0.3333333333333333,0.3333333333333333
253,0.0,0.0,0.0
1876,0.0,0.0,0.0
1364,0.5,0.3333333333333333,0.4
118,0.3333333333333333,0.3333333333333333,0.3333333333333333
126,0.6666666666666666,0.6666666666666666,0.6666666666666666
1030,0.5,0.0,0.2
2214,0.0,0.0,0.0
342,0.3333333333333333,0.0,0.16666666666666666
2486,0.0,0.0,0.0
2410,0.3333333333333333,0.0,0.16666666666666666
1468,0.0,0.0,0.0
1903,0.0,0.0,0.0
1741,0.3333333333333333,0.3333333333333333,0.3333333333333333
1410,0.3333333333333333,0.0,0.16666666666666666
2320,0.0,0.0,0.0
1837,0.0,0.5,0.25
2437,0.0,0.0,0.0
2367,0.3333333333333333,0.0,0.16666666666666666
2388,1.0,0.0,0.5
2387,1.0,0.0,0.5
1436,0.0,0.0,0.0
567,0.3333333333333333,0.0,0.16666666666666666
175,0.0,0.0,0.0
103,0.5,0.3333333333333333,0.4
1561,0.0,0.0,0.0
1161,0.0,0.0,0.0
171,1.0,0.0,0.5
2555,0.5,0.3333333333333333,0.4
1481,0.5,0.0,0.2
403,0.5,0.0,0.25
1235,1.0,0.0,0.5
304,0.0,0.5,0.25
1625,0.0,0.6666666666666666,0.3333333333333333
2412,0.0,0.0,0.0
1314,0.3333333333333333,1.0,0.6666666666666666
2152,1.0,0.0,0.5
